file_path,surface,role_channel,route_or_function,function_name,state,locale,source_commit_or_build,width,height,sha256,real_runtime_verified,branding_verified,brand_anchor_present,reviewer_notes
ScreenShots/01_Mobile/B2B_Customer/12_سلة_المشتريات_وإتمام_الطلب__populated__en.png,mobile,B2B Customer,/b2b/cart,سلة_المشتريات_وإتمام_الطلب,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,c66da1582c7e6fc68937e20631a0f0232c9e55d0301429847acac58aeb24b31c,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/13_حسابي_والإعدادات__populated__ar.png,mobile,B2B Customer,/b2b/profile,حسابي_والإعدادات,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,f3937d5159a23faa4d084de1a0cab9abb224425416adad61bb12e5841aa1ed35,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2B_Customer/13_حسابي_والإعدادات__populated__en.png,mobile,B2B Customer,/b2b/profile,حسابي_والإعدادات,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,336cce7591cc86c5c4c30f6c0f32f92215676dca752e04910ddd408e190a76a9,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/01_الشاشة_الافتتاحية__default__ar.png,mobile,B2C Customer,/splash,الشاشة_الافتتاحية,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,33f69b6f65b9613854c212b4eae7232c31d47ab159f04a43f59134638d30f442,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/01_الشاشة_الافتتاحية__default__en.png,mobile,B2C Customer,/splash,الشاشة_الافتتاحية,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,240e1d9e0fc145654f7f378a0007816801e035d2d8c6021a7ce13d39ad0b074a,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/02_تصفح_كضيف_او_تسجيل_الدخول__default__ar.png,mobile,B2C Customer,/entry,تصفح_كضيف_او_تسجيل_الدخول,default,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,5222679d83f08578711a4be690e441de4db2aa141a2a973b7a5e2cc7498a99ff,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/02_تصفح_كضيف_او_تسجيل_الدخول__default__en.png,mobile,B2C Customer,/entry,تصفح_كضيف_او_تسجيل_الدخول,default,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,68c52ce44ddff2fa8152c98269f0bd4ddedf6e4362f5609dac288ea7b2286c09,PASS,PASS,PASS,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/03_اختيار_المتجر__populated__ar.png,mobile,B2C Customer,/stores,اختيار_المتجر,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,f1ba676b0d9d52488128c935d0b8b9837dec06438626b19aa8044f9ef35d9cf3,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/03_اختيار_المتجر__populated__en.png,mobile,B2C Customer,/stores,اختيار_المتجر,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,a9d587d9118ac4a0b64054285475183396413f7606c9c43c67920bdbe51a2671,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/04_الصفحة_الرئيسية_للمتجر__populated__ar.png,mobile,B2C Customer,/home,الصفحة_الرئيسية_للمتجر,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,57b5cfeaba252fcb848c4aad83bec1ac043126542856a874919ce09f2b6fcccc,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/04_الصفحة_الرئيسية_للمتجر__populated__en.png,mobile,B2C Customer,/home,الصفحة_الرئيسية_للمتجر,populated,en,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,d54a39bb80f4ec486491f9937aef8341a8ad0894effd9284815c8a01106c3c8a,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
ScreenShots/01_Mobile/B2C_Customer/05_عروض_وتخفيضات__populated__ar.png,mobile,B2C Customer,/offers,عروض_وتخفيضات,populated,ar,fccb53acd9a8ec032359ae60c86779028b73df22,430,932,aa22c64bcf6a5d11cd20f0ee59f56e01c3e4c261409fc408fb7dd167abc79a7a,PASS,PASS,NEUTRAL_SCREEN,Generated from current FOODEX runtime by screenshot evidence CI
